type,detail
Nom,Boucané
Ingredients,2 grands morceaux de boucané
Ingredients,5 gousses d'ail
Ingredients,2 échalottes
Ingredients,5 tomates
Ingredients,sel
Ingredients,poivre
Ingredients,safran
Ingredients,thym
Ingredients,4 pommes de terre (optionnel)
Preparation,Faire bouillir le boucané 30 min pour le déssaler.
Preparation,Le faire frire et le retirer.
Preparation,"Ajouter les échalottes, l'ail, et les tomates dans la croûte du boucané."
Preparation,"Poivrer, saler et rajouter le thym et le safran."
Preparation,Ajouter les pommes de terre (optionnel).
Preparation,Ajouter le boucané.
Preparation,Rajouter le sel à la fin.
Cuisson,Faire mijoter 30 min.
