type,detail
Nom,Civet Lapin
Ingredients,Lapin
Ingredients,1 oignon
Ingredients,3 gousses d'ail
Ingredients,3 tomates
Ingredients,poivre
Ingredients,sel
Ingredients,thym
Ingredients,2 clous de girofle
Ingredients,50 cl de vin rouge
Preparation,Faire frire le lapin avec les clous de girofle piqués.
Preparation,"Rajouter l'oignon puis l'ail puis les tomates coupées et écrasées."
Preparation,"Saler, poivrer et rajouter le thym."
Preparation,"A la fin, rajouter le vin petit à petit et laisser mijoter."
Cuisson,Cuir pendant 1 heure.
