type,detail
Nom,Civet Zourite
Ingredients,4 échalottes
Ingredients,4 tomates
Ingredients,3 gousses d'ail
Ingredients,500 g de pieuvre
Ingredients,gingembre
Ingredients,Combava
Ingredients,50 cl de vin rouge
Preparation,Roussir les échalottes puis l'ail.
Preparation,Rajouter les tomates.
Preparation,"Saler, poivrer et rajouter du safran."
Preparation,Rajouter les poulets préalablement découpés.
Preparation,Rajouter du gingembre et raper le combava.
Preparation,Rajouter le vin rouge.
Cuisson,Faire mijoter 1 heure.
