type,detail
Nom,Cassolettes de Saint-Jacques
Ingredients,3 oignons
Ingredients,1 gousse d’ail
Ingredients,300 g de champignons de Paris
Ingredients,20 crevettes roses fraîches
Ingredients,400 g de noix de saint-jacques
Ingredients,Persil frais
Ingredients,Margarine pour beurrer des cassolettes
Ingredients,15 cl de vin blanc
Ingredients,20 cl de crème fraîche
Ingredients,2 cuillères à soupe de farine
Ingredients,sel et poivre
Preparation,Couper finement l'oignon ainsi que l'ail et les mettre à cuire dans une poêle avec un peu de matière grasse. 
Preparation,Emincer les champignons et les mettre à cuire dans une deuxième poêle. 
Preparation,Faire dorer les noix de Saint-Jacques à la poêle avec un filet d'huile d'olive (1 minute puis les retourner). Réserver et garder le jus de cuisson à part. 
Preparation,Préparer les cassolettes en beurrant légèrement chaque plat individuel (allant au four). 
Preparation,"Ajouter dans chacune d'elles : oignons, champignons, les noix de Saint-Jacques ainsi que 5 crevettes + le persil préalablement haché. "
Preparation,"Pour la sauce, verser dans casserole sur feu doux le vin blanc + la crème fraîche + le jus de cuisson des noix de Saint-Jacques."
Preparation,Fouetter et ajouter la farine pour épaissir la préparation. 
Preparation,Répartir ensuite la sauce dans chaque cassolette individuelle.
Cuisson,Les mettre au four à 200°C (thermostat 6-7) durant 20 min. 
