type,detail
Nom,Crêpes
Ingredients,Pour 12 crêpes
Ingredients,250 g farine
Ingredients,1/2 cuillère à café de sel
Ingredients,2 cuillères à soupe de sucre
Ingredients,2 cuillères à soupe d'huile
Ingredients,1/2 L de lait
Ingredients,3 oeufs
Preparation,Mettre la farine dans une terrine.
Preparation,Faire un puit et y verser la moitié du lait peu à peu.
Preparation,Rajouter les oeufs battus.
Preparation,"Rajouter l'huile, le sel, le sucre et le reste de lait."
Preparation,Laisser poser 10 minutes.
Cuisson,Cuir à la poêle.
