type,detail
Nom,Paëlla
Ingredients,1 Poivron rouge
Ingredients,1 Oignon
Ingredients,De l’ail
Ingredients,Calamar
Ingredients,Crevettes
Ingredients,Chorizo
Ingredients,Pilon de poulet
Ingredients,Moules
Ingredients,Riz d’or
Ingredients,Safran
Ingredients,Sel
Ingredients,Poivre
Preparation,"Emincer le poivron, l’oignon et l’ail."
Preparation,Les faire revenir dans l’huile d’olive avec les calamars.
Preparation,"Dans de l’eau, faire cuire les moules jusqu’à ouverture."
Preparation,Rajouter le poulet au mélange avec le poivron et le faire revenir.
Preparation,Y ajouter l’eau des moules.
Preparation,Saler et poivrer.
Preparation,Ajouter le riz.
Cuisson,Laisser cuire 1 heure le tout.
Cuisson,"5 minutes avant la fin de la cuisson, ajouter les moules, crevettes, chorizo puis le safran."
