type,detail
Nom,Tarte tatin
Ingredients,8 pommes
Ingredients,150 g de beurre
Ingredients,100 g de sucre
Ingredients,cannelle
Ingredients,vanille
Ingredients,pâte brisée
Preparation,Eplucher les pommes et les couper en quartiers.
Preparation,"Dans une casserole faire fondre le beurre, ajouter le sucre pour faire un caramel."
Preparation,Ajoutez-y la vanille et la cannelle.
Preparation,Dorer les pommes en les cuisant dans le caramel.
Preparation,Soupoudrer de cannelle et de vanille.
Preparation,Mettre dans un moule.
Preparation,Recouvrir la préparation de la pâte en appuyant bien sur les bords.
Cuisson,Cuir 35/40 min à 180°C
Cuisson,Le caramel remonte sur les côtés quand c'est cuit.
