type,detail
Nom,Tarte à la tomate
Ingredients,1 pâte feuilletée
Ingredients,5 tomates
Ingredients,Romarin
Ingredients,Herbes de provence
Ingredients,Moutarde
Ingredients,Huile d'olive
Preparation,Pré-cuire la pâte 5 min à 230°C.
Preparation,Tapisser le fond de la pâte avec la moutarde.
Preparation,Pré-cuire les tomates pour enlever l'eau.
Preparation,Déposer plusieurs épaisseurs de tomates sur la pâte.
Preparation,Herbe de provence et sel.
Preparation,Rajouter 1 cuillère à soupe d'huile d'olive.
Cuisson,Cuir au four 25 min à 230°C
