type,detail
Nom,Travers de porc
Ingredients,2 gousses d'ail
Ingredients,1 cuillère à soupe de piment ou de paprika
Ingredients,1 cuillère à café de poivre
Ingredients,1,2 kg de travers de porc
Ingredients,100 ml de vin blanc sec
Ingredients,50 ml d'huile d'olive
Ingredients,gros sel
Preparation,"Dans un plat, enduire le porc avec l'ail, le poivre, le sel et le piment."
Preparation,Arroser avec le vin et l'huile.
Preparation,Laisser mariner 30 min de chaque côté.
Cuisson,Préchauffer le four à 200°C
Cuisson,45 min à 1 heure
